algoritmo,dataset,n_elementos,tempo(ms),comparacoes,trocas,memoria(bytes)
counting,adversarial_counting,5000,0.3106,9998,10000,219996
counting,adversarial_limiar,5000,0.2873,9998,10000,220004
counting,aleatorio_1,5000,0.2012,9998,10000,151032
counting,quase_ordenada_1,5000,0.1093,9998,10000,40000
counting,repetidos_1,5000,0.0977,9998,10000,20040
counting,reverso_1,5000,0.1261,9998,10000,40000
counting,adversarial_insertion,10000,1.0363,19998,20000,844000
counting,aleatorio_2,10000,0.2336,19998,20000,171032
counting,grande_1,50000,1.2933,99998,100000,331072
heap,adversarial_counting,5000,0.0876,16004,5526,0
heap,adversarial_limiar,5000,1.2472,107605,57080,0
heap,aleatorio_1,5000,1.2685,107604,57086,0
heap,quase_ordenada_1,5000,1.0944,111992,60572,0
heap,repetidos_1,5000,3.5681,100108,51938,0
heap,reverso_1,5000,0.8288,103227,53436,0
heap,adversarial_insertion,10000,1.9910,228656,121294,0
heap,aleatorio_2,10000,3.4335,235266,124133,0
heap,grande_1,50000,21.3420,1409811,737397,0
insertion,adversarial_counting,5000,0.6230,127812,122813,0
insertion,adversarial_limiar,5000,35.6754,6332411,6327420,0
insertion,aleatorio_1,5000,23.2880,6172789,6167795,0
insertion,quase_ordenada_1,5000,1.0804,298655,293656,0
insertion,repetidos_1,5000,32.0286,5624477,5619479,0
insertion,reverso_1,5000,59.6153,12497500,12497500,0
insertion,adversarial_insertion,10000,28.3520,9009998,9000000,0
insertion,aleatorio_2,10000,104.8176,24855183,24845189,0
insertion,grande_1,50000,2505.5697,626593365,626543373,0
merge,adversarial_counting,5000,0.4575,45973,123616,20000
merge,adversarial_limiar,5000,1.0560,55250,123616,20000
merge,aleatorio_1,5000,0.7825,55192,123616,20000
merge,quase_ordenada_1,5000,0.7869,48947,123616,20000
merge,repetidos_1,5000,0.8482,53575,123616,20000
merge,reverso_1,5000,0.6264,29804,123616,20000
merge,adversarial_insertion,10000,1.0002,75407,267232,40000
merge,aleatorio_2,10000,1.6378,120439,267232,40000
merge,grande_1,50000,16.6772,718238,1568928,200000
selection,adversarial_counting,5000,38.4710,12497500,4560,0
selection,adversarial_limiar,5000,38.6542,12497500,4989,0
selection,aleatorio_1,5000,50.5815,12497500,4990,0
selection,quase_ordenada_1,5000,40.1608,12497500,100,0
selection,repetidos_1,5000,50.9479,12497500,4488,0
selection,reverso_1,5000,36.4001,12497500,2500,0
selection,adversarial_insertion,10000,159.1622,49995000,9000,0
selection,aleatorio_2,10000,169.6762,49995000,9991,0
selection,grande_1,50000,3710.0528,1249975000,49988,0
